Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Count,Developer,Rating
26.0,2011.0,11.0,349.0,0.0,0.0,0.05,0.0,0.05,64.2,11.8,15.8,1242.6,1.2
29.0,2004.0,6.0,448.0,0.11,0.03,0.0,0.01,0.14,65.6,29.2,17.0,1318.0,3.6
16.0,2000.0,2.0,143.0,0.05,0.04,0.38,0.01,0.47,75.0,15.0,10.0,1007.0,7.0
28.0,2006.0,8.0,110.0,0.0,0.0,0.02,0.0,0.02,60.0,39.4,48.6,1023.2,4.0
20.0,2014.0,1.0,233.0,0.0,0.0,0.01,0.0,0.01,65.4,20.4,57.6,1049.0,6.0
19.0,2011.0,0.0,496.0,0.0,0.0,0.02,0.0,0.02,81.8,52.8,114.0,1132.4,3.4
16.0,2007.0,2.0,440.0,0.0,0.0,0.01,0.0,0.01,60.0,20.2,49.2,893.8,5.6
29.0,2003.0,6.0,138.0,0.06,0.02,0.0,0.0,0.08,54.0,22.0,5.0,299.0,7.0
0.0,1983.0,0.0,393.0,0.31,0.02,0.0,0.0,0.33,59.2,18.2,114.0,760.2,2.8
19.0,2008.0,7.0,349.0,0.0,0.0,0.07,0.0,0.07,61.6,26.4,18.6,913.6,4.8
13.0,2013.0,0.0,85.0,0.0,0.04,0.0,0.0,0.04,77.0,12.0,342.0,268.0,5.0
0.0,1981.0,8.0,240.0,0.99,0.05,0.0,0.01,1.05,61.2,24.4,114.2,609.8,3.2
16.0,2003.0,0.0,327.0,0.08,0.07,0.0,0.02,0.17,71.0,27.0,11.0,1472.0,5.0
28.0,2008.0,1.0,53.0,0.14,0.3,0.0,0.05,0.48,58.0,53.0,162.0,463.0,5.0
11.0,1985.0,5.0,349.0,0.0,0.0,0.41,0.0,0.41,60.6,27.2,138.4,792.8,3.4
4.0,2007.0,10.0,139.0,0.05,0.0,0.0,0.0,0.06,81.0,10.0,8.0,511.0,1.0
15.0,1998.0,7.0,265.0,0.27,0.18,0.06,0.04,0.55,78.0,15.0,35.0,576.0,7.0
26.0,2009.0,10.0,497.0,0.26,0.01,0.0,0.02,0.29,68.0,5.0,6.0,222.0,2.0
4.0,2011.0,5.0,432.0,0.0,0.02,0.0,0.0,0.02,68.4,10.6,12.2,1215.0,1.0
26.0,2008.0,9.0,139.0,0.33,0.03,0.0,0.03,0.39,80.8,34.6,53.2,558.0,1.0
10.0,1997.0,8.0,361.0,2.78,0.58,0.64,0.04,4.03,91.4,40.8,262.2,850.2,2.2
28.0,2013.0,0.0,528.0,0.57,0.32,0.01,0.08,0.98,82.0,58.0,383.0,1561.0,5.0
19.0,2007.0,5.0,101.0,0.03,0.0,0.0,0.0,0.04,37.0,14.0,7.0,31.0,2.0
19.0,2007.0,10.0,528.0,0.01,0.09,0.0,0.01,0.1,58.0,17.0,11.0,1539.0,7.0
4.0,2010.0,5.0,409.0,0.0,0.08,0.0,0.01,0.1,77.0,10.0,23.0,628.0,1.0
15.0,1999.0,0.0,12.0,0.03,0.02,0.0,0.0,0.05,46.4,12.2,48.0,611.0,3.6
15.0,1996.0,10.0,17.0,0.08,0.05,0.0,0.01,0.14,78.0,20.2,231.0,833.2,2.4
26.0,2011.0,0.0,21.0,0.09,0.06,0.0,0.02,0.17,54.6,11.6,9.6,858.6,5.0
16.0,2003.0,8.0,438.0,0.38,0.29,0.0,0.1,0.77,63.8,27.6,110.8,941.2,4.6
29.0,2005.0,4.0,277.0,0.02,0.01,0.0,0.0,0.03,47.0,11.0,9.0,681.0,1.0
7.0,2004.0,0.0,491.0,0.31,0.08,0.0,0.01,0.4,49.0,6.0,14.8,1081.0,1.0
6.0,2004.0,0.0,127.0,0.6,0.22,0.0,0.01,0.83,57.0,6.0,5.0,108.0,1.0
4.0,2006.0,5.0,122.0,0.04,0.0,0.0,0.0,0.05,50.6,13.6,7.6,846.6,2.2
17.0,2009.0,0.0,491.0,0.0,0.08,0.0,0.01,0.08,62.8,18.6,68.0,1042.6,2.4
4.0,2009.0,0.0,21.0,0.14,0.0,0.0,0.01,0.15,66.2,23.0,10.8,31.0,1.0
26.0,2008.0,3.0,448.0,0.08,0.06,0.01,0.02,0.17,70.0,47.0,11.0,1144.0,1.0
4.0,2007.0,7.0,467.0,0.49,0.04,0.21,0.04,0.78,88.0,59.0,283.0,775.0,7.0
19.0,2006.0,7.0,138.0,0.2,0.01,0.0,0.02,0.22,72.0,13.0,5.0,1336.0,7.0
16.0,2006.0,0.0,491.0,0.4,0.02,0.0,0.07,0.48,59.6,22.0,26.0,691.8,3.0
17.0,2010.0,2.0,383.0,0.21,0.07,0.09,0.04,0.41,87.0,29.0,65.0,92.0,7.0
6.0,2003.0,11.0,277.0,0.4,0.15,0.0,0.01,0.56,57.0,6.4,8.8,854.8,1.0
4.0,2005.0,2.0,139.0,0.08,0.0,0.0,0.01,0.08,34.0,6.0,16.0,435.0,2.0
16.0,2003.0,3.0,528.0,0.03,0.02,0.0,0.01,0.06,64.0,28.0,12.0,1255.0,1.0
19.0,2010.0,10.0,139.0,0.13,0.69,0.01,0.36,1.2,68.0,6.0,9.0,449.0,1.0
26.0,2008.0,10.0,497.0,0.86,0.54,0.0,0.15,1.56,38.0,10.0,7.0,276.0,1.0
